activity_id,sid,course_id,course_name,test_type,score,timestamp,academic_year,semester,week,student_name,email
bfe6c000-7b48-4b92-8511-f79e7e375167,S1000,C109,Cybersecurity,Final,75.0,1652535556.0,1,1,2,Student 0,student_0@university.edu
700f98d9-5982-4eaa-8a58-0505e0119eaf,S1000,C109,Cybersecurity,Assignment,85.0,1654325435.0,1,1,5,Student 0,student_0@university.edu
781a2979-9c46-4648-a3bb-338bc5bd8b11,S1000,C109,Cybersecurity,Assignment,66.0,1654921366.0,1,1,6,Student 0,student_0@university.edu
4fffa3dd-80ea-4ac0-9560-b9d876326c83,S1000,C109,Cybersecurity,Quiz,81.0,1657374845.0,1,1,10,Student 0,student_0@university.edu
85ac0a60-7b78-4e3b-9f68-554e3aa37a0e,S1000,C109,Cybersecurity,Assignment,85.0,1658515291.0,1,1,12,Student 0,student_0@university.edu
2be41cbc-f5b8-4cbc-9cdc-a76028496d5b,S1000,C109,Cybersecurity,Quiz,79.0,1660962467.0,1,1,16,Student 0,student_0@university.edu
98c92690-fe93-42dd-9496-a327a0214853,S1000,C101,Data Structures,Midterm,66.0,1651933403.0,1,1,1,Student 0,student_0@university.edu
b152785b-db91-4261-b7dd-efee95a13328,S1000,C101,Data Structures,Quiz,81.0,1652511318.0,1,1,2,Student 0,student_0@university.edu
b92757c2-eea9-4d40-8089-497b7c68f5dd,S1000,C101,Data Structures,Quiz,85.0,1653112482.0,1,1,3,Student 0,student_0@university.edu
2af81cc6-5b12-40fa-a8d0-aca21bdf21c7,S1000,C101,Data Structures,Quiz,85.0,1653705878.0,1,1,4,Student 0,student_0@university.edu
49de8523-de63-4f9b-b52a-959978d4ecb8,S1000,C101,Data Structures,Midterm,83.0,1654915177.0,1,1,6,Student 0,student_0@university.edu
d6f6cda4-9b61-493f-b5b4-d3df105b18df,S1000,C101,Data Structures,Midterm,67.0,1655560823.0,1,1,7,Student 0,student_0@university.edu
fe1d0300-56b3-4c75-8f47-4dadb0f5c9fc,S1000,C101,Data Structures,Final,73.0,1657362549.0,1,1,10,Student 0,student_0@university.edu
039db242-3cf8-455d-a484-613c3d85472b,S1000,C101,Data Structures,Final,70.0,1659733147.0,1,1,14,Student 0,student_0@university.edu
